entropy,target_entropy,optimal_lambda
0.5818218467233698,1.0,1.0
0.8486106277489377,1.0,1.0
0.6594991229283304,1.0,1.0
0.7044109880598748,1.0,1.0
0.6661942582318476,1.0,1.0
0.6679759108969375,1.0,1.0
0.6233237365088201,1.0,1.0
0.7145746621935292,1.0,1.0
0.6503658040896201,1.0,1.0
0.7571306404830503,1.0,1.0
0.6993496822615387,1.0,1.0
0.7298179367360785,1.0,1.0
0.6134401686815978,1.0,1.0
0.6730041267294804,1.0,1.0
0.6031723275839952,1.0,1.0
0.6399677339278511,1.0,1.0
0.5821918224345941,1.0,1.0
0.621296439369901,1.0,1.0
0.4194513873125558,1.0,1.0
0.7441218126046646,1.0,1.0
0.5404810875285101,1.0,1.0
0.5361615698738932,1.0,1.0
0.6517906586360979,1.0,1.0
0.6881695088972756,1.0,1.0
0.734522957884572,1.0,1.0
0.5277488546610589,1.0,1.0
0.7141504508188075,1.0,1.0
0.5232362376468349,1.0,1.0
0.6584625521977114,1.0,1.0
0.6063357841903537,1.0,1.0
0.6548814166825854,1.0,1.0
0.6068816133303758,1.0,1.0
0.81382323909,1.0,1.0
0.6458518417167716,1.0,1.0
0.733115391659245,1.0,1.0
0.7369322738328301,1.0,1.0
0.684077181343021,1.0,1.0
0.5941239168759591,1.0,1.0
0.7212886537837885,1.0,1.0
0.8311724162589404,1.0,1.0
0.3830522349692982,1.0,1.0
0.5366472069265334,1.0,1.0
0.412914394015198,1.0,1.0
0.6747891852304129,1.0,1.0
0.7229107642997464,1.0,1.0
0.7174396712788312,1.0,1.0
0.6165468902144604,1.0,1.0
0.7399203700258054,1.0,1.0
0.7184872531826472,1.0,1.0
0.41381374509587926,1.0,1.0
0.4028714955224602,1.0,1.0
0.6793642470274727,1.0,1.0
0.6647299953915454,1.0,1.0
0.6922687494826124,1.0,1.0
0.6860444751778069,1.0,1.0
0.6349008347508561,1.0,1.0
0.7784040154275961,1.0,1.0
0.6488516511147359,1.0,1.0
0.5465961401592039,1.0,1.0
0.7585640054394412,1.0,1.0
0.7836431233923665,1.0,1.0
0.5280807085695958,1.0,1.0
0.7488488814419049,1.0,1.0
0.7110867213430622,1.0,1.0
0.6634077152376074,1.0,1.0
0.7581041145858276,1.0,1.0
0.7160108528689649,1.0,1.0
0.6739073991613304,1.0,1.0
0.7017918295475151,1.0,1.0
0.4042382062047384,1.0,1.0
0.6456918907693214,1.0,1.0
0.7930728363250615,1.0,1.0
0.7237884547038359,1.0,1.0
0.6429852943713464,1.0,1.0
0.6596524944363849,1.0,1.0
0.7068342933225311,1.0,1.0
0.7408110740960784,1.0,1.0
0.6049208780239553,1.0,1.0
0.631739195482568,1.0,1.0
0.4551574087495227,1.0,1.0
0.5309208292208316,1.0,1.0
0.7160012622742606,1.0,1.0
0.533286218821027,1.0,1.0
0.7861036139284254,1.0,1.0
0.7144206414890829,1.0,1.0
0.49718001302021264,1.0,1.0
0.5624924120738716,1.0,1.0
0.8138183417924818,1.0,1.0
0.68636611440162,1.0,1.0
0.6589122098762208,1.0,1.0
0.6014402626696327,1.0,1.0
0.49731947678364224,1.0,1.0
0.6040040742489834,1.0,1.0
0.721818715421068,1.0,1.0
0.7492540763299508,1.0,1.0
0.6188540382817713,1.0,1.0
0.6039258380936261,1.0,1.0
0.7762569216093524,1.0,1.0
0.6623668823885644,1.0,1.0
0.7649906300828335,1.0,1.0
0.7040251856254711,1.0,1.0
0.666752184797246,1.0,1.0
0.5590103403041681,1.0,1.0
0.7715366701028313,1.0,1.0
0.7748683104045753,1.0,1.0
0.7127505644295679,1.0,1.0
0.5405839775056038,1.0,1.0
0.7029989317904463,1.0,1.0
0.6622469694908225,1.0,1.0
0.7107275903639266,1.0,1.0
0.5962900895958445,1.0,1.0
0.6996745953320459,1.0,1.0
0.6995925082438608,1.0,1.0
0.7199884735290814,1.0,1.0
0.5581534646777717,1.0,1.0
0.6972036273826745,1.0,1.0
0.5080246968872718,1.0,1.0
0.7533490124763209,1.0,1.0
0.6606364225313937,1.0,1.0
0.7571725540809384,1.0,1.0
0.6214492104724875,1.0,1.0
0.6148392476521543,1.0,1.0
